class,subject,term,week,topic,learningObjectives,contents,teacherActivities,learnerActivities,teachingMaterials,assessment
Primary 5,Mathematics,First Term,1,Reading and Writing Numbers up to One Million in Words and Figures,,"Counting up to millions (revision) | Place value table for millions, thousands, hundreds | Reading numbers in words (e.g. four hundred and ninety thousand) | Writing numbers in figures | Finding missing numbers in a sequence | Increasing/decreasing large numbers by given amounts | Multiples of 1000 between number pairs",,"Write the missing numbers in given number sequences | Write numbers described (e.g. 100 more than 3214) | Write the number 10,000 more/less than given numbers | Increase/decrease a number by given place values | Write multiples of 1000 between number pairs | Read words and write in numerals; read numbers and write in words",,"Exercises on writing missing numbers, increasing/decreasing numbers, and converting numbers between words and figures"
Primary 5,Mathematics,First Term,2,Place Value,Give the value of a digit in a whole number | State the value of each digit in a given decimal number,"Place values from units up to hundred millions | Method: arranging numbers in a place value table or underlining the digit and counting zeros to the right | Writing numbers in words and figures, separating digits into groups of three from the right",,Write the corresponding digit for each named place value | Write down the place value of underlined digits | State the place value and value of a given digit in various numbers | Write numbers in words and in figures,,Write down the place value of each underlined digit in given numbers | State the place value and value of a specified digit in given numbers | Write numbers in words and figures
Primary 5,Mathematics,First Term,3,Changing Fraction to Decimal / Meaning and Place Value of Decimals,Recognise the meaning of decimals | Identify the place value of decimals | Write decimals in words and figures | Compare and order decimals | Convert decimals to fractions and vice versa | Find the fraction of quantities,"Meaning of decimals: a number with a whole number part and a fraction part, separated by a decimal point | Place value table of decimals: tenths, hundredths, thousandths | Reading and writing decimals in words and figures",,"Write given fractions as decimals | State the place value and total value of specified digits in decimal numbers | Complete a table showing units, tenths, hundredths, thousandths for given decimals | Read and write given decimals in words",,State the place value and total value of a digit in a decimal number | Read and write decimals in words
Primary 5,Mathematics,First Term,4,Ratio (Introduction),,Introductory content on ratio (heavily illustrated in source; text largely image-based),,,,
Primary 5,Mathematics,First Term,5,Ratio,Recognise the idea of ratio | Simplify ratio in its lowest term | Solve problems involving ratio,Meaning and representation of ratio | Simplifying ratios to lowest terms | Word problems involving ratio,,Practice simplifying given ratios | Solve word problems involving ratio,,
Primary 5,Mathematics,First Term,6,Addition of Whole Numbers Involving Three or More Items,,"Steps for adding numbers: vertical arrangement with units aligned, adding from units column then tens, hundreds, etc.",,Practice adding three or more multi-digit numbers using vertical arrangement,,
Primary 5,Mathematics,First Term,7,Addition and Subtraction of Fractions,,"Addition of fractions and mixed numbers | Subtraction of fractions and mixed numbers, including subtracting whole numbers from mixed fractions",,Calculate addition problems involving fractions and mixed numbers | Calculate subtraction problems involving fractions and mixed numbers,,
Primary 5,Mathematics,First Term,8,Multiplication of 3-Digit Numbers,,"Multiplying by 0: the answer is always 0 | Multiplying by 1: the answer is the number itself | Multiplying numbers ending in zero: multiply the digits, then add the zeros to the answer",,"Practice multiplication of 3-digit numbers by 0, 1, and multiples of 10",,
Primary 5,Mathematics,First Term,9,Square Roots of Numbers,,Finding squares of numbers | Simplifying expressions involving squares | Solving problems involving squares of numbers,,Find the square of given numbers | Simplify given squared expressions | Solve word problems involving squares of numbers,,Find the square of each of the given numbers | Simplify given squared expressions
Primary 5,Mathematics,First Term,10,"Division of Numbers by 10, 20, ... 90",,Division of whole numbers by multiples of 10 up to 90 | Method: cross out equal zeros in dividend and divisor before dividing,,Practice dividing whole numbers by multiples of 10,,
